TIMESTAMP,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~STD_DEV,2014-06-20_13:45~PRACTICEAPILOADTEST0620~MAIN~REQUESTS~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~MEDIAN,2014-06-20_13:45~PRACTICEAPI~MAIN~COMPLETED~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~TIME_TAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~THROUGHPUT~TPS,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~STD_DEV,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~RUNNING~VALUE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_90TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_25TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_90TH
00:00:43,123.0,6.209669878504009,0.0,18.0,,22.2,,2.0,123.0,0.0,23.0,100.0,29.6,123.0,123.0
00:00:44,123.0,118.61534470716678,0.0,31.0,,86.0,,2.0,123.0,0.0,33.0,100.0,207.00000000000003,123.0,123.0
00:00:45,123.0,111.24697249313749,0.0,23.0,,75.33333333333333,,0.0,123.0,0.0,42.0,100.0,185.5,123.0,123.0
00:00:46,123.0,121.431050394864,0.0,32.5,,98.0,,0.0,123.0,0.0,105.5,100.0,227.00000000000006,123.0,123.0
00:00:47,,,0.0,,,,,5.0,,,,100.0,,,
00:00:48,123.0,23.89517925935553,0.0,25.0,,36.857142857142854,,0.0,123.0,0.0,43.5,100.0,65.60000000000001,123.0,123.0
00:00:49,,,0.0,,,,,0.0,,,,100.0,,,
00:00:50,123.0,658.2361962092331,0.0,18.5,,283.1,,0.0,123.0,0.0,50.0,100.0,587.2999999999994,123.0,123.0
00:00:51,123.0,6.4031242374328485,0.0,23.0,,24.0,,0.0,123.0,0.0,28.5,100.0,31.200000000000003,123.0,123.0
00:00:52,123.0,439.1073331202748,0.0,30.0,,279.5,,1.0,123.0,0.0,284.75,100.0,737.9000000000002,123.0,123.0
00:00:53,123.0,949.5682370081119,0.0,32.0,,415.14285714285717,,0.0,123.0,0.0,39.0,100.0,1121.000000000001,123.0,123.0
00:00:54,,,0.0,,,,,0.0,,,,100.0,,,
00:00:55,123.0,410.4077613937691,0.0,36.0,,341.42857142857144,,0.0,123.0,0.0,644.5,100.0,956.6,123.0,123.0
